index,Sku,Catalog,Category,Weight,TP,MRP Old,Final MRP Old,Ajio MRP,Amazon MRP,Amazon FBA MRP,Flipkart MRP,Limeroad MRP,Myntra MRP,Paytm MRP,Snapdeal MRP
1213,OS290KR_M,Mix,Kurta,0.3,400,2097,2097,2097,2097,2097,2097,2097,2097,2097,2097
1214,OS290KR_L,Mix,Kurta,0.3,400,2097,2097,2097,2097,2097,2097,2097,2097,2097,2097
1215,OS290KR_XL,Mix,Kurta,0.3,400,2097,2097,2097,2097,2097,2097,2097,2097,2097,2097
1216,OS290KR_2XL,Mix,Kurta,0.3,400,2097,2097,2097,2097,2097,2097,2097,2097,2097,2097
1217,OS290KR_3XL,Mix,Kurta,0.3,400,2097,2097,2097,2097,2097,2097,2097,2097,2097,2097
1218,OS289_S,Mix,Kurta Set,0.4,615,3095,3095,3095,3095,3095,3095,3095,2895,3095,3095
1219,OS289_M,Mix,Kurta Set,0.4,615,3095,3095,3095,3095,3095,3095,3095,2895,3095,3095
1220,OS289_L,Mix,Kurta Set,0.4,615,3095,3095,3095,3095,3095,3095,3095,2895,3095,3095
1221,OS289_XL,Mix,Kurta Set,0.4,615,3095,3095,3095,3095,3095,3095,3095,2895,3095,3095
1222,OS289_2XL,Mix,Kurta Set,0.4,615,3095,3095,3095,3095,3095,3095,3095,2895,3095,3095
1223,OS289_3XL,Mix,Kurta Set,0.4,615,3095,3095,3095,3095,3095,3095,3095,2895,3095,3095
1224,OS289KR_S,Mix,Kurta,0.3,425,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195
1225,OS289KR_M,Mix,Kurta,0.3,425,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195
1226,OS289KR_L,Mix,Kurta,0.3,425,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195
1227,OS289KR_XL,Mix,Kurta,0.3,425,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195
